Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;Totalt i retning Nyløkken/Telegrafbukta;30;100,0;24;24;0;30;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-21T00:00+02:00;2022-05-22T00:00+02:00;2022-05-21;Totalt;94;100,0;24;24;0;94;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;1;32;100,0;24;24;0;32;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;2;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;Totalt i retning Muse`gata;59;100,0;24;24;0;59;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;Totalt i retning Nyløkken/Telegrafbukta;32;100,0;24;24;0;32;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-22T00:00+02:00;2022-05-23T00:00+02:00;2022-05-22;Totalt;91;100,0;24;24;0;91;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-23T00:00+02:00;2022-05-24T00:00+02:00;2022-05-23;1;83;100,0;24;24;0;83;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-23T00:00+02:00;2022-05-24T00:00+02:00;2022-05-23;2;120;100,0;24;24;0;120;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-23T00:00+02:00;2022-05-24T00:00+02:00;2022-05-23;Totalt i retning Muse`gata;120;100,0;24;24;0;120;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-23T00:00+02:00;2022-05-24T00:00+02:00;2022-05-23;Totalt i retning Nyløkken/Telegrafbukta;83;100,0;24;24;0;83;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-23T00:00+02:00;2022-05-24T00:00+02:00;2022-05-23;Totalt;203;100,0;24;24;0;203;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-24T00:00+02:00;2022-05-25T00:00+02:00;2022-05-24;1;77;100,0;24;24;0;77;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-24T00:00+02:00;2022-05-25T00:00+02:00;2022-05-24;2;102;100,0;24;24;0;102;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-24T00:00+02:00;2022-05-25T00:00+02:00;2022-05-24;Totalt i retning Muse`gata;102;100,0;24;24;0;102;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-24T00:00+02:00;2022-05-25T00:00+02:00;2022-05-24;Totalt i retning Nyløkken/Telegrafbukta;77;100,0;24;24;0;77;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-24T00:00+02:00;2022-05-25T00:00+02:00;2022-05-24;Totalt;179;100,0;24;24;0;179;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-25T00:00+02:00;2022-05-26T00:00+02:00;2022-05-25;1;72;100,0;24;24;0;72;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-25T00:00+02:00;2022-05-26T00:00+02:00;2022-05-25;2;113;100,0;24;24;0;113;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-25T00:00+02:00;2022-05-26T00:00+02:00;2022-05-25;Totalt i retning Muse`gata;113;100,0;24;24;0;113;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-25T00:00+02:00;2022-05-26T00:00+02:00;2022-05-25;Totalt i retning Nyløkken/Telegrafbukta;72;100,0;24;24;0;72;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-25T00:00+02:00;2022-05-26T00:00+02:00;2022-05-25;Totalt;185;100,0;24;24;0;185;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-26T00:00+02:00;2022-05-27T00:00+02:00;2022-05-26;1;47;100,0;24;24;0;47;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-26T00:00+02:00;2022-05-27T00:00+02:00;2022-05-26;2;85;100,0;24;24;0;85;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-26T00:00+02:00;2022-05-27T00:00+02:00;2022-05-26;Totalt i retning Muse`gata;85;100,0;24;24;0;85;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-26T00:00+02:00;2022-05-27T00:00+02:00;2022-05-26;Totalt i retning Nyløkken/Telegrafbukta;47;100,0;24;24;0;47;0,00;-;-;-;-;-;-;-;-
