Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-16T00:00+01:00;2022-01-17T00:00+01:00;2022-01-16;Totalt;13;100,0;24;24;0;13;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;1;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;2;13;100,0;24;24;0;13;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;Totalt i retning Nova;13;100,0;24;24;0;13;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;Totalt i retning Pyramiden;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-17T00:00+01:00;2022-01-18T00:00+01:00;2022-01-17;Totalt;39;100,0;24;24;0;39;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;1;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;2;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;Totalt i retning Nova;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;Totalt i retning Pyramiden;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-18T00:00+01:00;2022-01-19T00:00+01:00;2022-01-18;Totalt;32;100,0;24;24;0;32;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-19T00:00+01:00;2022-01-20T00:00+01:00;2022-01-19;1;22;100,0;24;24;0;22;0,00;-;-;-;-;-;-;-;-
